X               Y               
0              2              
0.02           2.019998673    
0.04           2.039989439    
0.06           2.059964534    
0.08           2.079916346    
0.1            2.099837418    
0.12           2.119720437    
0.14           2.139558236    
0.16           2.159343789    
0.18           2.179070212    
0.2            2.198730753    
0.22           2.218318798    
0.24           2.237827861    
0.26           2.257251586    
0.28           2.276583742    
0.3            2.295818221    
0.32           2.314949037    
0.34           2.333970323    
0.36           2.352876326    
0.38           2.37166141     
0.4            2.390320046    
0.42           2.40884682     
0.44           2.427236421    
0.46           2.445483646    
0.48           2.463583392    
0.5            2.48153066     
0.52           2.499320548    
0.54           2.516948253    
0.56           2.534409064    
0.58           2.551698367    
0.6            2.568811637    
0.62           2.585744438    
0.64           2.602492425    
0.66           2.619051335    
0.68           2.635416993    
0.7            2.651585304    
0.72           2.667552256    
0.74           2.683313916    
0.76           2.698866427    
0.78           2.714206012    
0.8            2.729328965    
0.82           2.744231655    
0.84           2.758910524    
0.86           2.773362083    
0.88           2.787582912    
0.9            2.80156966     
0.92           2.815319042    
0.94           2.828827836    
0.96           2.842092886    
0.98           2.855111099    
1.0            2.867879442    
1.02           2.880394941    
1.04           2.892654682    
1.06           2.904655811    
1.08           2.916395526    
1.1            2.927871084    
1.12           2.939079795    
1.14           2.950019022    
1.16           2.960686181    
1.18           2.971078739    
1.2            2.981194212    
1.22           2.991030167    
1.24           3.000584218    
1.26           3.009854027    
1.28           3.018837301    
1.3            3.027531794    
1.32           3.035935302    
1.34           3.044045669    
1.36           3.051860777    
1.38           3.059378554    
1.4            3.066596964    
1.42           3.073514017    
1.44           3.080127759    
1.46           3.086436275    
1.48           3.092437689    
1.5            3.098130161    
1.52           3.103511887    
1.54           3.108581102    
1.56           3.113336072    
1.58           3.117775099    
1.6            3.121896518    
1.62           3.1256987      
1.64           3.129180043    
1.66           3.132338981    
1.68           3.135173976    
1.7            3.137683524    
1.72           3.139866148    
1.74           3.141720401    
1.76           3.143244864    
1.78           3.144438148    
1.8            3.145298889    
1.82           3.145825751    
1.84           3.146017427    
1.86           3.145872631    
1.88           3.145390106    
1.9            3.14456862     
1.92           3.143406963    
1.94           3.14190395     
1.96           3.140058421    
1.98           3.137869238    
2.0            3.135335284    
2.02           3.132455465    
2.04           3.129228711    
2.06           3.12565397     
2.08           3.121730213    
2.1            3.117456429    
2.12           3.112831629    
2.14           3.107854843    
2.16           3.102525121    
2.18           3.096841531    
2.2            3.090803159    
2.22           3.084409109    
2.24           3.077658505    
2.26           3.070550485    
2.28           3.063084207    
2.3            3.055258844    
2.32           3.047073586    
2.34           3.038527639    
2.36           3.029620223    
2.38           3.020350578    
2.4            3.010717954    
2.42           3.000721618    
2.44           2.990360852    
2.46           2.979634951    
2.48           2.968543226    
2.5            2.957084999    
2.52           2.945259607    
2.54           2.9330664      
2.56           2.920504741    
2.58           2.907574004    
2.6            2.894273578    
2.62           2.880602863    
2.64           2.86656127     
2.66           2.852148222    
2.68           2.837363154    
2.7            2.822205513    
2.72           2.806674755    
2.74           2.790770347    
2.76           2.774491769    
2.78           2.757838508    
2.8            2.740810063    
2.82           2.723405943    
2.84           2.705625666    
2.86           2.68746876     
2.88           2.668934763    
2.9            2.65002322     
2.92           2.630733688    
2.94           2.611065729    
2.96           2.591018917    
2.98           2.570592834    
3.0            2.549787069    
3.02           2.528601219    
3.04           2.50703489     
3.06           2.485087695    
3.08           2.462759257    
3.1            2.440049203    
3.12           2.416957169    
3.14           2.393482798    
3.16           2.369625741    
3.18           2.345385655    
3.2            2.320762204    
3.22           2.295755058    
3.24           2.270363895    
3.26           2.244588398    
3.28           2.218428257    
3.3            2.191883168    
3.32           2.164952832    
3.34           2.137636958    
3.36           2.109935259    
3.38           2.081847455    
3.4            2.05337327     
3.42           2.024512435    
3.44           1.995264685    
3.46           1.965629762    
3.48           1.935607411    
3.5            1.905197384    
3.52           1.874399435    
3.54           1.843213327    
3.56           1.811638825    
3.58           1.779675698    
3.6            1.747323723    
3.62           1.714582677    
3.64           1.681452344    
3.66           1.647932513    
3.68           1.614022975    
3.7            1.579723527    
3.72           1.545033968    
3.74           1.509954103    
3.76           1.47448374     
3.78           1.438622692    
3.8            1.402370772    
3.82           1.365727801    
3.84           1.328693601    
3.86           1.291268       
3.88           1.253450825    
3.9            1.215241912    
3.92           1.176641095    
3.94           1.137648215    
3.96           1.098263114    
3.98           1.058485639    
4.0            1.018315639    
4.02           0.977752965    
4.04           0.9367974725   
4.06           0.8954490192   
4.08           0.8537074657   
4.1            0.8115726755   
4.12           0.7690445145   
4.14           0.7261228516   
4.16           0.682807558    
4.18           0.6390985077   
4.2            0.5949955769   
4.22           0.5504986446   
4.24           0.5056075919   
4.26           0.4603223025   
4.28           0.4146426622   
4.3            0.3685685591   
4.32           0.3220998836   
4.34           0.2752365283   
4.36           0.2279783877   
4.38           0.1803253587   
4.4            0.13227734     
4.42           0.08383423236  
4.44           0.03499593859  
4.46           -0.01423763664 
4.48           -0.06386658678 
4.5            -0.1138910034  
4.52           -0.1643109763  
4.54           -0.2151265934  
4.56           -0.266337941   
4.58           -0.3179451036  
4.6            -0.3699481642  
4.62           -0.4223472039  
4.64           -0.4751423023  
4.66           -0.5283335375  
4.68           -0.5819209861  
4.7            -0.6359047228  
4.72           -0.6902848214  
4.74           -0.7450613538  
4.76           -0.8002343905  
4.78           -0.855804001   
4.8            -0.9117702529  
4.82           -0.9681332128  
4.84           -1.024892946   
4.86           -1.082049516   
4.88           -1.139602986   
4.9            -1.197553417   
4.92           -1.255900869   
4.94           -1.314645402   
4.96           -1.373787072   
4.98           -1.433325937   
5.0            -1.493262053   
5.02           -1.553595473   
5.04           -1.614326252   
5.06           -1.67545444    
5.08           -1.736980091   
5.1            -1.798903253   
5.12           -1.861223977   
5.14           -1.92394231    
5.16           -1.9870583     
5.18           -2.050571994   
5.2            -2.114483436   
5.22           -2.178792671   
5.24           -2.243499743   
5.26           -2.308604695   
5.28           -2.374107569   
5.3            -2.440008406   
5.32           -2.506307246   
5.34           -2.573004129   
5.36           -2.640099094   
5.38           -2.707592178   
5.4            -2.775483419   
5.42           -2.843772853   
5.44           -2.912460517   
5.46           -2.981546444   
5.48           -3.05103067    
5.5            -3.120913229   
5.52           -3.191194152   
5.54           -3.261873473   
5.56           -3.332951224   
5.58           -3.404427434   
5.6            -3.476302136   
5.62           -3.548575359   
5.64           -3.621247132   
5.66           -3.694317483   
5.68           -3.767786442   
